table_row,ordering_cd,st_country_cd,us_or_foreign,state_country_of_origin,assignee_name,CY_2010,CY_2011,CY_2012,CY_2013,CY_2014,CY_ALL
108,3,AZ,(U.S.),ARIZONA,RAIN BIRD CORPORATION,5,2,7,3,13,30
109,3,AZ,(U.S.),ARIZONA,ARIZONA BOARD OF REGENTS,1,5,5,10,7,28
110,3,AZ,(U.S.),ARIZONA,CORNING GILBERT INC.,6,8,6,4,4,28
111,3,AZ,(U.S.),ARIZONA,"NEC LABORATORIES AMERICA, INC.",0,3,10,8,7,28
112,3,AZ,(U.S.),ARIZONA,"CARDICA, INC.",1,7,5,9,5,27
113,3,AZ,(U.S.),ARIZONA,"COMTECH EF DATA, INC.",0,3,8,6,10,27
114,3,AZ,(U.S.),ARIZONA,NTHDEGREE TECHNOLOGIES WORLDWIDE INC.,0,2,4,7,14,27
115,3,AZ,(U.S.),ARIZONA,FREEPORT-MCMORAN CORPORATION,9,4,5,7,0,25
116,3,AZ,(U.S.),ARIZONA,"HVVI SEMICONDUCTORS, INC.",6,15,4,0,0,25
117,3,AZ,(U.S.),ARIZONA,"QUANTANCE, INC.",3,8,6,3,5,25
118,3,AZ,(U.S.),ARIZONA,"ARMORWORKS ENTERPRISES, LLC",0,1,6,6,11,24
119,3,AZ,(U.S.),ARIZONA,SION POWER CORPORATION,6,3,5,3,7,24
120,3,AZ,(U.S.),ARIZONA,"MOTOROLA, INC.",23,0,0,0,0,23
121,3,AZ,(U.S.),ARIZONA,"ORTHOSENSOR, INC.",0,0,1,6,16,23
122,3,AZ,(U.S.),ARIZONA,TAYMAC CORPORATION,6,13,4,0,0,23
123,3,AZ,(U.S.),ARIZONA,ALCATEL LUCENT,0,6,6,10,0,22
124,3,AZ,(U.S.),ARIZONA,INTEL IP CORPORATION,0,0,0,5,17,22
125,3,AZ,(U.S.),ARIZONA,TOKYO ELECTRON LIMITED,11,6,3,1,1,22
126,3,AZ,(U.S.),ARIZONA,"GENERAL DYNAMICS C4 SYSTEMS, INC.",10,3,5,2,1,21
127,3,AZ,(U.S.),ARIZONA,"MOTOROLA-MOBILITY, INC.",1,8,8,3,1,21
128,3,AZ,(U.S.),ARIZONA,ALCATEL-LUCENT USA INC.,14,5,0,0,0,19
129,3,AZ,(U.S.),ARIZONA,"AM-SAFE, INC.",1,2,2,8,6,19
130,3,AZ,(U.S.),ARIZONA,"CRESTCOM, INC.",4,4,1,5,5,19
131,3,AZ,(U.S.),ARIZONA,"IGO, INC.",10,6,3,0,0,19
132,3,AZ,(U.S.),ARIZONA,PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY,1,3,4,7,4,19
133,3,AZ,(U.S.),ARIZONA,SAP AKTIENGESELLSCHAFT,3,5,6,3,2,19
134,3,AZ,(U.S.),ARIZONA,STATS CHIPPAC LTD.,4,2,5,4,4,19
135,3,AZ,(U.S.),ARIZONA,"AVIATION COMMUNICATION & SURVEILLANCE SYSTEMS, LLC",2,7,5,3,1,18
136,3,AZ,(U.S.),ARIZONA,"APPLIED ENERGETICS, INC.",0,5,2,7,3,17
137,3,AZ,(U.S.),ARIZONA,CANON KABUSHIKI KAISHA,0,1,6,6,4,17
138,3,AZ,(U.S.),ARIZONA,NATIONAL SEMICONDUCTOR CORPORATION,7,5,3,1,1,17
139,3,AZ,(U.S.),ARIZONA,"ROCKWELL AUTOMATION TECHNOLOGIES, INC.",3,6,1,1,6,17
140,3,AZ,(U.S.),ARIZONA,FUJITSU SEMICONDUCTOR LIMITED,0,0,2,14,0,16
141,3,AZ,(U.S.),ARIZONA,PRECISION SHOOTING EQUIPMENT INC.,5,8,1,1,1,16
142,3,AZ,(U.S.),ARIZONA,MATERIALS AND ELECTROCHEMICAL RESEARCH CORP.,4,4,2,3,2,15
143,3,AZ,(U.S.),ARIZONA,"MEDAPPS, INC.",0,0,15,0,0,15
144,3,AZ,(U.S.),ARIZONA,MOTOR EXCELLENCE LLC,2,11,2,0,0,15
145,3,AZ,(U.S.),ARIZONA,"SAND9, INC.",0,0,2,7,6,15
146,3,AZ,(U.S.),ARIZONA,"AIR PRODUCTS AND CHEMICALS, INC.",1,0,1,4,8,14
147,3,AZ,(U.S.),ARIZONA,HEMISPHERE GPS LLC,1,4,7,2,0,14
148,3,AZ,(U.S.),ARIZONA,"LEAD CORE FUND, L.L.C.",0,0,5,2,7,14
149,3,AZ,(U.S.),ARIZONA,"UNICORN MEDIA, INC.",0,0,7,5,2,14
150,3,AZ,(U.S.),ARIZONA,"XATRA FUND MX, LLC",0,7,5,1,1,14
151,3,AZ,(U.S.),ARIZONA,CATHOLIC HEALTHCARE WEST,1,4,5,1,2,13
152,3,AZ,(U.S.),ARIZONA,"INTEGRATED DEVICE TECHNOLOGY, INC.",2,2,3,4,2,13
153,3,AZ,(U.S.),ARIZONA,AJJER LLC,0,2,2,3,5,12
154,3,AZ,(U.S.),ARIZONA,"BAE SYSTEMS INFORMATION AND ELECTRONIC SYSTEMS INTEGRATION, INC.",6,3,2,1,0,12
155,3,AZ,(U.S.),ARIZONA,"BARD PERIPHERAL VASCULAR, INC.",0,5,4,2,1,12
156,3,AZ,(U.S.),ARIZONA,"CAYENNE MEDICAL, INC.",0,1,3,5,3,12
157,3,AZ,(U.S.),ARIZONA,"CLIMAX ENGINEERED MATERIALS, LLC",2,3,3,3,1,12
158,3,AZ,(U.S.),ARIZONA,"DOMAIN SURGICAL, INC.",0,0,1,11,0,12
159,3,AZ,(U.S.),ARIZONA,"GSG HOLDINGS, INC.",1,4,2,1,4,12
160,3,AZ,(U.S.),ARIZONA,"HANCHETT ENTRY SYSTEMS, INC.",0,3,3,4,2,12
161,3,AZ,(U.S.),ARIZONA,"JANSEN'S AIRCRAFT SYSTEMS CONTROLS, INC.",1,5,2,1,3,12
162,3,AZ,(U.S.),ARIZONA,NIKON CORPORATION,0,1,3,2,6,12
163,3,AZ,(U.S.),ARIZONA,"QUALCOMM, INC.",0,1,1,6,4,12
164,3,AZ,(U.S.),ARIZONA,"TOMAR ELECTRONICS, INC.",0,2,5,4,1,12
165,3,AZ,(U.S.),ARIZONA,"ADVALUE PHOTONICS, INC.",0,1,3,4,3,11
166,3,AZ,(U.S.),ARIZONA,ASML NETHERLANDS B.V.,3,5,1,1,1,11
167,3,AZ,(U.S.),ARIZONA,"COOLEDGE LIGHTING, INC.",0,0,1,4,6,11
168,3,AZ,(U.S.),ARIZONA,"EDGE 3 TECHNOLOGIES, INC.",0,0,0,2,9,11
169,3,AZ,(U.S.),ARIZONA,ENHANCED GEOGRAPHIC LLC,0,0,1,6,4,11
170,3,AZ,(U.S.),ARIZONA,"HEWLETT-PACKARD DEVELOPMENT COMPANY, L.P.",4,0,4,1,2,11
171,3,AZ,(U.S.),ARIZONA,MEDICIS PHARMACEUTICAL CORPORATION,4,1,3,1,2,11
172,3,AZ,(U.S.),ARIZONA,"MONSANTO TECHNOLOGY, LLC",4,2,2,0,3,11
173,3,AZ,(U.S.),ARIZONA,"ANALOG DEVICES, INC.",4,1,4,1,0,10
174,3,AZ,(U.S.),ARIZONA,CBRITE INC.,2,2,1,3,2,10
175,3,AZ,(U.S.),ARIZONA,"CRANIAL TECHNOLOGIES, INC.",0,0,2,5,3,10
176,3,AZ,(U.S.),ARIZONA,EDGE 3 TECHNOLOGIES LLC,0,0,5,4,1,10
177,3,AZ,(U.S.),ARIZONA,EYE CARE AND CURE PTE LTD,0,1,6,1,2,10
178,3,AZ,(U.S.),ARIZONA,HEXCEL CORPORATION,1,1,0,2,6,10
179,3,AZ,(U.S.),ARIZONA,ISLAND KINETICS INC.,0,0,5,4,1,10
180,3,AZ,(U.S.),ARIZONA,"MACHINE SOLUTIONS, INC.",1,0,4,1,4,10
181,3,AZ,(U.S.),ARIZONA,"MINEBEA KABUSHIKI-KAISHA (MINEBEA CO., LTD)",4,2,3,1,0,10
182,3,AZ,(U.S.),ARIZONA,"PHOENIX LICENSING, LLC",3,2,2,2,1,10
183,3,AZ,(U.S.),ARIZONA,"SUVOLTA, INC.",0,0,0,2,8,10
184,3,AZ,(U.S.),ARIZONA,"THERMOLIFE INTERNATIONAL, LLC",1,1,2,5,1,10
185,3,AZ,(U.S.),ARIZONA,"U-HAUL INTERNATIONAL, INC.",3,2,2,1,2,10
186,3,AZ,(U.S.),ARIZONA,"APRIVA, LLC",0,1,2,2,4,9
187,3,AZ,(U.S.),ARIZONA,AXON TECHNOLOGIES CORPORATION,3,2,4,0,0,9
188,3,AZ,(U.S.),ARIZONA,CSR TECHNOLOGY INC.,0,0,1,4,4,9
189,3,AZ,(U.S.),ARIZONA,"DR SYSTEMS, INC.",0,2,1,2,4,9
190,3,AZ,(U.S.),ARIZONA,"FLUIDIC, INC.",0,0,0,2,7,9
191,3,AZ,(U.S.),ARIZONA,"FUJIFILM ELECTRONIC MATERIALS, U.S.A., INC.",0,6,1,0,2,9
192,3,AZ,(U.S.),ARIZONA,"GLOBAL SOLAR ENERGY, INC.",1,3,4,1,0,9
193,3,AZ,(U.S.),ARIZONA,"KILIMANJARO ENERGY, INC.",0,2,6,0,1,9
194,3,AZ,(U.S.),ARIZONA,"MICRON TECHNOLOGY, INC.",0,1,0,5,3,9
195,3,AZ,(U.S.),ARIZONA,"NUON, INC",1,3,3,0,2,9
196,3,AZ,(U.S.),ARIZONA,"PCT INTERNATIONAL, INC.",0,3,0,1,5,9
197,3,AZ,(U.S.),ARIZONA,SCHLUMBERGER TECHNOLOGY CORPORATION,1,1,3,2,2,9
198,3,AZ,(U.S.),ARIZONA,UNITED TECHNOLOGIES CORPORATION,0,0,4,3,2,9
199,3,AZ,(U.S.),ARIZONA,AGJUNCTION LLC,0,0,0,3,5,8
200,3,AZ,(U.S.),ARIZONA,"ARETE ASSOCIATE, INC.",5,0,2,0,1,8
201,3,AZ,(U.S.),ARIZONA,ARISTOCRAT TECHNOLOGIES AUSTRALIA PTY LTD.,0,1,2,2,3,8
202,3,AZ,(U.S.),ARIZONA,ARIZONA BIOMEDICAL RESEARCH COMMISSION,2,3,2,1,0,8
203,3,AZ,(U.S.),ARIZONA,ARIZONA PUBLIC SERVICE COMPANY,3,1,2,1,1,8
204,3,AZ,(U.S.),ARIZONA,DONNELLY CORPORATION,0,3,1,2,2,8
205,3,AZ,(U.S.),ARIZONA,ELECTRIC TORQUE MACHINES INC.,0,0,1,3,4,8
206,3,AZ,(U.S.),ARIZONA,INTERNATIONAL RECTIFIER CORPORATION,0,0,0,1,7,8
207,3,AZ,(U.S.),ARIZONA,"INTUIT, INC.",2,0,2,1,3,8
208,3,AZ,(U.S.),ARIZONA,LSI CORPORATION,0,1,1,2,4,8
209,3,AZ,(U.S.),ARIZONA,MAYO FOUNDATION FOR MEDICAL EDUCATION AND RESEARCH,1,0,1,4,2,8
210,3,AZ,(U.S.),ARIZONA,"NJOY, INC.",0,0,0,2,6,8
211,3,AZ,(U.S.),ARIZONA,"ROTANI, INC.",1,2,3,2,0,8
212,3,AZ,(U.S.),ARIZONA,"SV PROBE PTE., LTD.",3,2,2,1,0,8
213,3,AZ,(U.S.),ARIZONA,TICKETMASTER L.L.C.,1,3,1,2,1,8
214,3,AZ,(U.S.),ARIZONA,TRANSLATIONAL GENOMICS RESEARCH INSTITUTE,0,0,0,2,6,8
215,3,AZ,(U.S.),ARIZONA,"VALIDITY SENSORS, INC.",0,2,4,2,0,8
216,3,AZ,(U.S.),ARIZONA,"ZOUNDS HEARING, INC.",1,2,1,2,2,8
217,3,AZ,(U.S.),ARIZONA,"BRUKER NANO, INC.",0,1,1,4,1,7
218,3,AZ,(U.S.),ARIZONA,DECA TECHNOLOGIES INC.,0,0,0,2,5,7
219,3,AZ,(U.S.),ARIZONA,"EARLY WARNING SERVICES, LLC",0,1,2,2,2,7
220,3,AZ,(U.S.),ARIZONA,EFUNDS CORPORATION,2,1,2,2,0,7
221,3,AZ,(U.S.),ARIZONA,"ENDOSTIM, INC.",1,0,0,3,3,7
222,3,AZ,(U.S.),ARIZONA,ENGINEERING SCIENCE ANALYSIS CORPORATION,0,1,1,3,2,7
223,3,AZ,(U.S.),ARIZONA,ESTIVATION PROPERTIES LLC,0,0,1,4,2,7
224,3,AZ,(U.S.),ARIZONA,EXELIS INC.,0,0,1,2,4,7
225,3,AZ,(U.S.),ARIZONA,GENERAL ELECTRIC COMPANY,1,1,3,2,0,7
226,3,AZ,(U.S.),ARIZONA,"INNOVATIVE ENGINEERING SOLUTIONS, INC.",0,2,1,2,2,7
227,3,AZ,(U.S.),ARIZONA,"INTERNATIONAL FLORA TECHNOLOGIES, LTD.",1,1,0,3,2,7
228,3,AZ,(U.S.),ARIZONA,"MICROBLEND TECHNOLOGIES, INC.",1,4,0,2,0,7
229,3,AZ,(U.S.),ARIZONA,"RED HAT, INC.",0,0,3,3,1,7
230,3,AZ,(U.S.),ARIZONA,REDDY ICE CORPORATION,2,0,1,2,2,7
231,3,AZ,(U.S.),ARIZONA,ROBERT BOSCH GMBH,2,2,0,1,2,7
232,3,AZ,(U.S.),ARIZONA,"SMART STORAGE SYSTEMS, INC.",0,0,4,1,2,7
233,3,AZ,(U.S.),ARIZONA,SMSC HOLDINGS SARL,0,0,1,1,5,7
234,3,AZ,(U.S.),ARIZONA,"SOUTHEAST DIRECTIONAL DRILLING, LLC",2,1,2,1,1,7
235,3,AZ,(U.S.),ARIZONA,"TESSENDERLO KERLEY, INC.",2,4,0,1,0,7
236,3,AZ,(U.S.),ARIZONA,"UNIVERSAL LASER SYSTEMS, INC.",2,1,2,2,0,7
237,3,AZ,(U.S.),ARIZONA,"WORLD PROPERTIES, INC.",3,0,2,2,0,7
238,3,AZ,(U.S.),ARIZONA,"ZYMOGENETICS, INC.",1,1,2,0,3,7
239,3,AZ,(U.S.),ARIZONA,ABRAMS AIRBORNE INC.,0,0,3,1,2,6
240,3,AZ,(U.S.),ARIZONA,"ABRAMS AIRBORNE MANUFACTURING, INC.",0,0,4,2,0,6
241,3,AZ,(U.S.),ARIZONA,"AZBIL BIOVIGILANT, INC.",0,0,1,2,3,6
242,3,AZ,(U.S.),ARIZONA,BIODERM RESEARCH,3,1,2,0,0,6
243,3,AZ,(U.S.),ARIZONA,"BOSTON SCIENTIFIC SCIMED, INC.",1,3,0,1,1,6
244,3,AZ,(U.S.),ARIZONA,"CARIS MPI, INC.",0,1,0,0,5,6
245,3,AZ,(U.S.),ARIZONA,COGNIS IP MANAGEMENT GMBH,1,2,0,3,0,6
246,3,AZ,(U.S.),ARIZONA,"CONTINENTAL AUTOMOTIVE SYSTEMS, INC.",1,0,1,2,2,6
247,3,AZ,(U.S.),ARIZONA,"CTM MAGNETICS, INC.",1,3,2,0,0,6
248,3,AZ,(U.S.),ARIZONA,CYPRESS SEMICONDUCTOR CORP.,0,2,1,0,3,6
249,3,AZ,(U.S.),ARIZONA,DIGNITY HEALTH,0,0,1,3,2,6
250,3,AZ,(U.S.),ARIZONA,"ENERTRON, INC.",2,1,2,1,0,6
251,3,AZ,(U.S.),ARIZONA,ESSELTE CORPORATION,2,1,2,1,0,6
252,3,AZ,(U.S.),ARIZONA,"EUFORA, LLC",1,2,0,1,2,6
253,3,AZ,(U.S.),ARIZONA,FIRETRACE USA. LLC,1,0,1,2,2,6
254,3,AZ,(U.S.),ARIZONA,"FLIPCHIP INTERNATIONAL, LLC",0,2,2,1,1,6
255,3,AZ,(U.S.),ARIZONA,"FLOW MANAGEMENT DEVICES, LLC",1,0,3,1,1,6
256,3,AZ,(U.S.),ARIZONA,"GOOGLE, INC.",0,1,2,0,3,6
257,3,AZ,(U.S.),ARIZONA,"HEALTH PAYMENT SYSTEMS, INC.",4,0,1,0,1,6
258,3,AZ,(U.S.),ARIZONA,"I/O DATA CENTERS, LLC",0,0,1,2,3,6
259,3,AZ,(U.S.),ARIZONA,"ICEMOS TECHNOLOGY, LTD.",0,1,2,0,3,6
260,3,AZ,(U.S.),ARIZONA,"INTELLIGENT COFFEE COMPANY, LLC",2,0,2,0,2,6
261,3,AZ,(U.S.),ARIZONA,"INTERTEL, INC.",2,2,1,0,1,6
262,3,AZ,(U.S.),ARIZONA,"INTRINSIC BIOPROBES, INC.",1,2,0,3,0,6
263,3,AZ,(U.S.),ARIZONA,KLA-TENCOR CORPORATION,3,1,1,1,0,6
264,3,AZ,(U.S.),ARIZONA,"KRYRON GLOBAL, LLC",1,4,0,1,0,6
