ordering_cd,st_country_cd,us_or_foreign,state_country_of_origin,assignee_name,CY_2014,CY_ALL
1,AL,(U.S.),ALABAMA,FONTAINE TRAILER CO.,3,8
1,AL,(U.S.),ALABAMA,"SERINA THERAPEUTICS, INC.",1,8
1,AL,(U.S.),ALABAMA,"UNITED STATES OF AMERICA, DEPARTMENT OF AGRICULTURE",2,8
1,AL,(U.S.),ALABAMA,WEST CORPORATION,5,8
1,AL,(U.S.),ALABAMA,YKK CORPORATION OF AMERICA,0,8
1,AL,(U.S.),ALABAMA,A. O. SMITH CORPORATION,2,7
1,AL,(U.S.),ALABAMA,"BIOCRYST PHARMACEUTICALS, INC.",1,7
1,AL,(U.S.),ALABAMA,"FOXRUN USA, LLC",2,7
1,AL,(U.S.),ALABAMA,INTERGRAPH SOFTWARE TECHNOLOGIES COMPANY,1,7
1,AL,(U.S.),ALABAMA,NEPTUNE TECHNOLOGY GROUP INC.,5,7
1,AL,(U.S.),ALABAMA,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,3,7
1,AL,(U.S.),ALABAMA,SOUNDBLAST TECHNOLOGIES LLC.,1,7
1,AL,(U.S.),ALABAMA,"STRATA PROXIMITY SYSTEMS, LLC",3,7
1,AL,(U.S.),ALABAMA,"STREAMLINE AUTOMATION, LLC",1,7
1,AL,(U.S.),ALABAMA,UNIVERSITY OF SOUTH ALABAMA,2,7
1,AL,(U.S.),ALABAMA,"EGEN, INC.",1,6
1,AL,(U.S.),ALABAMA,INTUITIVE RESEARCH AND TECHNOLOGY CORPORATION,1,6
1,AL,(U.S.),ALABAMA,JOHNSON OUTDOORS INC.,0,6
1,AL,(U.S.),ALABAMA,MITSUBISHI POLYCRYSTALLINE SILICON AMERICA CORPORATION (MIPSA),0,6
1,AL,(U.S.),ALABAMA,MUELLER INTERNATIONAL INC.,1,6
1,AL,(U.S.),ALABAMA,"PERKINS TECHNICAL SERVICES, INC.",1,6
1,AL,(U.S.),ALABAMA,PPG INDUSTRIES OHIO INC.,2,6
1,AL,(U.S.),ALABAMA,SMARTSKY NETWORKS LLC,2,6
1,AL,(U.S.),ALABAMA,ALEREON INC.,0,5
1,AL,(U.S.),ALABAMA,AVOCENT CORPORATION,1,5
1,AL,(U.S.),ALABAMA,"CARINA TECHNOLOGY, INC.",1,5
1,AL,(U.S.),ALABAMA,DURECT CORPORATION,3,5
1,AL,(U.S.),ALABAMA,"EBSCO INDUSTRIES, INC.",1,5
1,AL,(U.S.),ALABAMA,"GE INTELLIGENT PLATFORMS EMBEDDED SYSTEMS, INC.",0,5
1,AL,(U.S.),ALABAMA,PHIFER INCORPORATED,2,5
1,AL,(U.S.),ALABAMA,RHEEM MANUFACTURING COMPANY,1,5
1,AL,(U.S.),ALABAMA,SOUTHERN COMPANY,1,5
1,AL,(U.S.),ALABAMA,"TORAY FLUOROFIBERS (AMERICA), INC.",0,5
1,AL,(U.S.),ALABAMA,"UNITED STATES PIPE AND FOUNDRY COMPANY, LLC",3,5
1,AL,(U.S.),ALABAMA,UOP,0,5
2,AK,(U.S.),ALASKA,~INDIVIDUALLY OWNED PATENT,28,105
2,AK,(U.S.),ALASKA,UNIVERSITY OF ALASKA,1,8
2,AK,(U.S.),ALASKA,BP CORPORATION NORTH AMERICA INC.,0,5
3,AZ,(U.S.),ARIZONA,~INDIVIDUALLY OWNED PATENT,334,1479
3,AZ,(U.S.),ARIZONA,INTERNATIONAL BUSINESS MACHINES CORPORATION,332,1359
3,AZ,(U.S.),ARIZONA,INTEL CORPORATION,113,659
3,AZ,(U.S.),ARIZONA,HONEYWELL INTERNATIONAL INC.,102,634
3,AZ,(U.S.),ARIZONA,"FREESCALE SEMICONDUCTOR, INC.",95,472
3,AZ,(U.S.),ARIZONA,RAYTHEON COMPANY,88,434
3,AZ,(U.S.),ARIZONA,"AMKOR TECHNOLOGY, INC.",28,154
3,AZ,(U.S.),ARIZONA,"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",17,146
3,AZ,(U.S.),ARIZONA,"SEMICONDUCTOR COMPONENTS INDUSTRIES, LLC",25,144
3,AZ,(U.S.),ARIZONA,ARIZONA STATE UNIVERSITY,46,143
3,AZ,(U.S.),ARIZONA,KARSTEN MANUFACTURING CORP.,29,109
3,AZ,(U.S.),ARIZONA,MICROCHIP TECHNOLOGY INCORPORATED,27,109
3,AZ,(U.S.),ARIZONA,BROADCOM CORPORATION,25,107
3,AZ,(U.S.),ARIZONA,"TEXAS INSTRUMENTS, INCORPORATED",18,83
3,AZ,(U.S.),ARIZONA,"ASM AMERICA, INC.",11,78
3,AZ,(U.S.),ARIZONA,"MCALISTER TECHNOLOGIES, LLC",42,78
3,AZ,(U.S.),ARIZONA,"W. L. GORE & ASSSOCIATES, INC.",24,71
3,AZ,(U.S.),ARIZONA,"LIMELIGHT NETWORKS, INC.",15,64
3,AZ,(U.S.),ARIZONA,"VIASAT, INC.",9,64
3,AZ,(U.S.),ARIZONA,"GO DADDY OPERATING COMPANY, LLC",15,61
3,AZ,(U.S.),ARIZONA,UNIVERSITY OF ARIZONA,16,60
3,AZ,(U.S.),ARIZONA,"GO DADDY GROUP, INC.",0,55
3,AZ,(U.S.),ARIZONA,"HELIAE DEVELOPMENT, LLC",12,55
3,AZ,(U.S.),ARIZONA,HUBBELL INCORPORATED,21,55
3,AZ,(U.S.),ARIZONA,"C. R. BARD, INC.",12,53
3,AZ,(U.S.),ARIZONA,MEDTRONIC INC.,15,52
3,AZ,(U.S.),ARIZONA,MARVELL INTERNATIONAL LTD.,9,49
3,AZ,(U.S.),ARIZONA,NXP B.V.,9,48
3,AZ,(U.S.),ARIZONA,BOEING COMPANY,9,47
3,AZ,(U.S.),ARIZONA,STANDARD MICROSYSTEMS CORPORATION,12,44
3,AZ,(U.S.),ARIZONA,"TASER INTERNATIONAL, INC.",5,44
3,AZ,(U.S.),ARIZONA,"VENTANA MEDICAL SYSTEMS, INC.",15,43
3,AZ,(U.S.),ARIZONA,DIAL CORPORATION,5,41
3,AZ,(U.S.),ARIZONA,"HON HAI PRECISION IND. CO., LTD.",5,37
3,AZ,(U.S.),ARIZONA,S.O.I. TEC SILICON ON INSULATOR TECHNOLOGIES S.A.,9,35
3,AZ,(U.S.),ARIZONA,"EVERSPIN TECHNOLOGIES, INC.",10,32
3,AZ,(U.S.),ARIZONA,"GORE ENTERPRISE HOLDINGS, INC.",0,31
3,AZ,(U.S.),ARIZONA,"RF MICRO DEVICES, INC.",10,31
3,AZ,(U.S.),ARIZONA,"SDC MATERIALS, INC.",14,31
3,AZ,(U.S.),ARIZONA,"GUIDED THERAPY SYSTEMS, L.L.C.",15,30
3,AZ,(U.S.),ARIZONA,RAIN BIRD CORPORATION,13,30
3,AZ,(U.S.),ARIZONA,ARIZONA BOARD OF REGENTS,7,28
3,AZ,(U.S.),ARIZONA,CORNING GILBERT INC.,4,28
3,AZ,(U.S.),ARIZONA,"NEC LABORATORIES AMERICA, INC.",7,28
3,AZ,(U.S.),ARIZONA,"CARDICA, INC.",5,27
3,AZ,(U.S.),ARIZONA,"COMTECH EF DATA, INC.",10,27
3,AZ,(U.S.),ARIZONA,NTHDEGREE TECHNOLOGIES WORLDWIDE INC.,14,27
3,AZ,(U.S.),ARIZONA,FREEPORT-MCMORAN CORPORATION,0,25
3,AZ,(U.S.),ARIZONA,"HVVI SEMICONDUCTORS, INC.",0,25
3,AZ,(U.S.),ARIZONA,"QUANTANCE, INC.",5,25
3,AZ,(U.S.),ARIZONA,"ARMORWORKS ENTERPRISES, LLC",11,24
3,AZ,(U.S.),ARIZONA,SION POWER CORPORATION,7,24
3,AZ,(U.S.),ARIZONA,"MOTOROLA, INC.",0,23
3,AZ,(U.S.),ARIZONA,"ORTHOSENSOR, INC.",16,23
3,AZ,(U.S.),ARIZONA,TAYMAC CORPORATION,0,23
3,AZ,(U.S.),ARIZONA,ALCATEL LUCENT,0,22
3,AZ,(U.S.),ARIZONA,INTEL IP CORPORATION,17,22
3,AZ,(U.S.),ARIZONA,TOKYO ELECTRON LIMITED,1,22
3,AZ,(U.S.),ARIZONA,"GENERAL DYNAMICS C4 SYSTEMS, INC.",1,21
3,AZ,(U.S.),ARIZONA,"MOTOROLA-MOBILITY, INC.",1,21
3,AZ,(U.S.),ARIZONA,ALCATEL-LUCENT USA INC.,0,19
3,AZ,(U.S.),ARIZONA,"AM-SAFE, INC.",6,19
3,AZ,(U.S.),ARIZONA,"CRESTCOM, INC.",5,19
3,AZ,(U.S.),ARIZONA,"IGO, INC.",0,19
3,AZ,(U.S.),ARIZONA,PACIFIC SCIENTIFIC ENERGETIC MATERIALS COMPANY,4,19
3,AZ,(U.S.),ARIZONA,SAP AKTIENGESELLSCHAFT,2,19
3,AZ,(U.S.),ARIZONA,STATS CHIPPAC LTD.,4,19
3,AZ,(U.S.),ARIZONA,"AVIATION COMMUNICATION & SURVEILLANCE SYSTEMS, LLC",1,18
3,AZ,(U.S.),ARIZONA,"APPLIED ENERGETICS, INC.",3,17
3,AZ,(U.S.),ARIZONA,CANON KABUSHIKI KAISHA,4,17
3,AZ,(U.S.),ARIZONA,NATIONAL SEMICONDUCTOR CORPORATION,1,17
3,AZ,(U.S.),ARIZONA,"ROCKWELL AUTOMATION TECHNOLOGIES, INC.",6,17
3,AZ,(U.S.),ARIZONA,FUJITSU SEMICONDUCTOR LIMITED,0,16
3,AZ,(U.S.),ARIZONA,PRECISION SHOOTING EQUIPMENT INC.,1,16
3,AZ,(U.S.),ARIZONA,MATERIALS AND ELECTROCHEMICAL RESEARCH CORP.,2,15
3,AZ,(U.S.),ARIZONA,"MEDAPPS, INC.",0,15
3,AZ,(U.S.),ARIZONA,MOTOR EXCELLENCE LLC,0,15
3,AZ,(U.S.),ARIZONA,"SAND9, INC.",6,15
3,AZ,(U.S.),ARIZONA,"AIR PRODUCTS AND CHEMICALS, INC.",8,14
3,AZ,(U.S.),ARIZONA,HEMISPHERE GPS LLC,0,14
3,AZ,(U.S.),ARIZONA,"LEAD CORE FUND, L.L.C.",7,14
3,AZ,(U.S.),ARIZONA,"UNICORN MEDIA, INC.",2,14
3,AZ,(U.S.),ARIZONA,"XATRA FUND MX, LLC",1,14
3,AZ,(U.S.),ARIZONA,CATHOLIC HEALTHCARE WEST,2,13
3,AZ,(U.S.),ARIZONA,"INTEGRATED DEVICE TECHNOLOGY, INC.",2,13
3,AZ,(U.S.),ARIZONA,AJJER LLC,5,12
3,AZ,(U.S.),ARIZONA,"BAE SYSTEMS INFORMATION AND ELECTRONIC SYSTEMS INTEGRATION, INC.",0,12
3,AZ,(U.S.),ARIZONA,"BARD PERIPHERAL VASCULAR, INC.",1,12
3,AZ,(U.S.),ARIZONA,"CAYENNE MEDICAL, INC.",3,12
3,AZ,(U.S.),ARIZONA,"CLIMAX ENGINEERED MATERIALS, LLC",1,12
3,AZ,(U.S.),ARIZONA,"DOMAIN SURGICAL, INC.",0,12
3,AZ,(U.S.),ARIZONA,"GSG HOLDINGS, INC.",4,12
3,AZ,(U.S.),ARIZONA,"HANCHETT ENTRY SYSTEMS, INC.",2,12
3,AZ,(U.S.),ARIZONA,"JANSEN'S AIRCRAFT SYSTEMS CONTROLS, INC.",3,12
3,AZ,(U.S.),ARIZONA,NIKON CORPORATION,6,12
3,AZ,(U.S.),ARIZONA,"QUALCOMM, INC.",4,12
3,AZ,(U.S.),ARIZONA,"TOMAR ELECTRONICS, INC.",1,12
3,AZ,(U.S.),ARIZONA,"ADVALUE PHOTONICS, INC.",3,11
3,AZ,(U.S.),ARIZONA,ASML NETHERLANDS B.V.,1,11
3,AZ,(U.S.),ARIZONA,"COOLEDGE LIGHTING, INC.",6,11
3,AZ,(U.S.),ARIZONA,"EDGE 3 TECHNOLOGIES, INC.",9,11
3,AZ,(U.S.),ARIZONA,ENHANCED GEOGRAPHIC LLC,4,11
3,AZ,(U.S.),ARIZONA,"HEWLETT-PACKARD DEVELOPMENT COMPANY, L.P.",2,11
3,AZ,(U.S.),ARIZONA,MEDICIS PHARMACEUTICAL CORPORATION,2,11
3,AZ,(U.S.),ARIZONA,"MONSANTO TECHNOLOGY, LLC",3,11
3,AZ,(U.S.),ARIZONA,"ANALOG DEVICES, INC.",0,10
3,AZ,(U.S.),ARIZONA,CBRITE INC.,2,10
3,AZ,(U.S.),ARIZONA,"CRANIAL TECHNOLOGIES, INC.",3,10
3,AZ,(U.S.),ARIZONA,EDGE 3 TECHNOLOGIES LLC,1,10
3,AZ,(U.S.),ARIZONA,EYE CARE AND CURE PTE LTD,2,10
3,AZ,(U.S.),ARIZONA,HEXCEL CORPORATION,6,10
3,AZ,(U.S.),ARIZONA,ISLAND KINETICS INC.,1,10
3,AZ,(U.S.),ARIZONA,"MACHINE SOLUTIONS, INC.",4,10
3,AZ,(U.S.),ARIZONA,"MINEBEA KABUSHIKI-KAISHA (MINEBEA CO., LTD)",0,10
3,AZ,(U.S.),ARIZONA,"PHOENIX LICENSING, LLC",1,10
3,AZ,(U.S.),ARIZONA,"SUVOLTA, INC.",8,10
3,AZ,(U.S.),ARIZONA,"THERMOLIFE INTERNATIONAL, LLC",1,10
3,AZ,(U.S.),ARIZONA,"U-HAUL INTERNATIONAL, INC.",2,10
3,AZ,(U.S.),ARIZONA,"APRIVA, LLC",4,9
3,AZ,(U.S.),ARIZONA,AXON TECHNOLOGIES CORPORATION,0,9
3,AZ,(U.S.),ARIZONA,CSR TECHNOLOGY INC.,4,9
3,AZ,(U.S.),ARIZONA,"DR SYSTEMS, INC.",4,9
3,AZ,(U.S.),ARIZONA,"FLUIDIC, INC.",7,9
3,AZ,(U.S.),ARIZONA,"FUJIFILM ELECTRONIC MATERIALS, U.S.A., INC.",2,9
3,AZ,(U.S.),ARIZONA,"GLOBAL SOLAR ENERGY, INC.",0,9
3,AZ,(U.S.),ARIZONA,"KILIMANJARO ENERGY, INC.",1,9
3,AZ,(U.S.),ARIZONA,"MICRON TECHNOLOGY, INC.",3,9
3,AZ,(U.S.),ARIZONA,"NUON, INC",2,9
3,AZ,(U.S.),ARIZONA,"PCT INTERNATIONAL, INC.",5,9
3,AZ,(U.S.),ARIZONA,SCHLUMBERGER TECHNOLOGY CORPORATION,2,9
3,AZ,(U.S.),ARIZONA,UNITED TECHNOLOGIES CORPORATION,2,9
3,AZ,(U.S.),ARIZONA,AGJUNCTION LLC,5,8
3,AZ,(U.S.),ARIZONA,"ARETE ASSOCIATE, INC.",1,8
3,AZ,(U.S.),ARIZONA,ARISTOCRAT TECHNOLOGIES AUSTRALIA PTY LTD.,3,8
3,AZ,(U.S.),ARIZONA,ARIZONA BIOMEDICAL RESEARCH COMMISSION,0,8
3,AZ,(U.S.),ARIZONA,ARIZONA PUBLIC SERVICE COMPANY,1,8
3,AZ,(U.S.),ARIZONA,DONNELLY CORPORATION,2,8
3,AZ,(U.S.),ARIZONA,ELECTRIC TORQUE MACHINES INC.,4,8
3,AZ,(U.S.),ARIZONA,INTERNATIONAL RECTIFIER CORPORATION,7,8
3,AZ,(U.S.),ARIZONA,"INTUIT, INC.",3,8
3,AZ,(U.S.),ARIZONA,LSI CORPORATION,4,8
3,AZ,(U.S.),ARIZONA,MAYO FOUNDATION FOR MEDICAL EDUCATION AND RESEARCH,2,8
3,AZ,(U.S.),ARIZONA,"NJOY, INC.",6,8
3,AZ,(U.S.),ARIZONA,"ROTANI, INC.",0,8
3,AZ,(U.S.),ARIZONA,"SV PROBE PTE., LTD.",0,8
3,AZ,(U.S.),ARIZONA,TICKETMASTER L.L.C.,1,8
3,AZ,(U.S.),ARIZONA,TRANSLATIONAL GENOMICS RESEARCH INSTITUTE,6,8
3,AZ,(U.S.),ARIZONA,"VALIDITY SENSORS, INC.",0,8
3,AZ,(U.S.),ARIZONA,"ZOUNDS HEARING, INC.",2,8
3,AZ,(U.S.),ARIZONA,"BRUKER NANO, INC.",1,7
3,AZ,(U.S.),ARIZONA,DECA TECHNOLOGIES INC.,5,7
3,AZ,(U.S.),ARIZONA,"EARLY WARNING SERVICES, LLC",2,7
3,AZ,(U.S.),ARIZONA,EFUNDS CORPORATION,0,7
3,AZ,(U.S.),ARIZONA,"ENDOSTIM, INC.",3,7
3,AZ,(U.S.),ARIZONA,ENGINEERING SCIENCE ANALYSIS CORPORATION,2,7
3,AZ,(U.S.),ARIZONA,ESTIVATION PROPERTIES LLC,2,7
3,AZ,(U.S.),ARIZONA,EXELIS INC.,4,7
3,AZ,(U.S.),ARIZONA,GENERAL ELECTRIC COMPANY,0,7
3,AZ,(U.S.),ARIZONA,"INNOVATIVE ENGINEERING SOLUTIONS, INC.",2,7
3,AZ,(U.S.),ARIZONA,"INTERNATIONAL FLORA TECHNOLOGIES, LTD.",2,7
3,AZ,(U.S.),ARIZONA,"MICROBLEND TECHNOLOGIES, INC.",0,7
3,AZ,(U.S.),ARIZONA,"RED HAT, INC.",1,7
3,AZ,(U.S.),ARIZONA,REDDY ICE CORPORATION,2,7
3,AZ,(U.S.),ARIZONA,ROBERT BOSCH GMBH,2,7
3,AZ,(U.S.),ARIZONA,"SMART STORAGE SYSTEMS, INC.",2,7
3,AZ,(U.S.),ARIZONA,SMSC HOLDINGS SARL,5,7
3,AZ,(U.S.),ARIZONA,"SOUTHEAST DIRECTIONAL DRILLING, LLC",1,7
3,AZ,(U.S.),ARIZONA,"TESSENDERLO KERLEY, INC.",0,7
3,AZ,(U.S.),ARIZONA,"UNIVERSAL LASER SYSTEMS, INC.",0,7
3,AZ,(U.S.),ARIZONA,"WORLD PROPERTIES, INC.",0,7
3,AZ,(U.S.),ARIZONA,"ZYMOGENETICS, INC.",3,7
3,AZ,(U.S.),ARIZONA,ABRAMS AIRBORNE INC.,2,6
3,AZ,(U.S.),ARIZONA,"ABRAMS AIRBORNE MANUFACTURING, INC.",0,6
3,AZ,(U.S.),ARIZONA,"AZBIL BIOVIGILANT, INC.",3,6
3,AZ,(U.S.),ARIZONA,BIODERM RESEARCH,0,6
3,AZ,(U.S.),ARIZONA,"BOSTON SCIENTIFIC SCIMED, INC.",1,6
3,AZ,(U.S.),ARIZONA,"CARIS MPI, INC.",5,6
3,AZ,(U.S.),ARIZONA,COGNIS IP MANAGEMENT GMBH,0,6
3,AZ,(U.S.),ARIZONA,"CONTINENTAL AUTOMOTIVE SYSTEMS, INC.",2,6
3,AZ,(U.S.),ARIZONA,"CTM MAGNETICS, INC.",0,6
3,AZ,(U.S.),ARIZONA,CYPRESS SEMICONDUCTOR CORP.,3,6
3,AZ,(U.S.),ARIZONA,DIGNITY HEALTH,2,6
3,AZ,(U.S.),ARIZONA,"ENERTRON, INC.",0,6
3,AZ,(U.S.),ARIZONA,ESSELTE CORPORATION,0,6
3,AZ,(U.S.),ARIZONA,"EUFORA, LLC",2,6
3,AZ,(U.S.),ARIZONA,FIRETRACE USA. LLC,2,6
3,AZ,(U.S.),ARIZONA,"FLIPCHIP INTERNATIONAL, LLC",1,6
3,AZ,(U.S.),ARIZONA,"FLOW MANAGEMENT DEVICES, LLC",1,6
3,AZ,(U.S.),ARIZONA,"GOOGLE, INC.",3,6
3,AZ,(U.S.),ARIZONA,"HEALTH PAYMENT SYSTEMS, INC.",1,6
3,AZ,(U.S.),ARIZONA,"I/O DATA CENTERS, LLC",3,6
3,AZ,(U.S.),ARIZONA,"ICEMOS TECHNOLOGY, LTD.",3,6
3,AZ,(U.S.),ARIZONA,"INTELLIGENT COFFEE COMPANY, LLC",2,6
3,AZ,(U.S.),ARIZONA,"INTERTEL, INC.",1,6
3,AZ,(U.S.),ARIZONA,"INTRINSIC BIOPROBES, INC.",0,6
3,AZ,(U.S.),ARIZONA,KLA-TENCOR CORPORATION,0,6
3,AZ,(U.S.),ARIZONA,"KRYRON GLOBAL, LLC",0,6
3,AZ,(U.S.),ARIZONA,MAGNASPHERE CORP.,1,6
3,AZ,(U.S.),ARIZONA,"MEGA FLUID SYSTEMS, INC.",1,6
3,AZ,(U.S.),ARIZONA,MITEL NETWORKS CORPORATION,2,6
3,AZ,(U.S.),ARIZONA,ORBITAL RESEARCH INC.,1,6
3,AZ,(U.S.),ARIZONA,RINCON RESEARCH CORPORATION,1,6
3,AZ,(U.S.),ARIZONA,"SIGMA LABORATORIES OF ARIZONA, LLC",2,6
3,AZ,(U.S.),ARIZONA,"STMICROELECTRONICS, INC.",1,6
3,AZ,(U.S.),ARIZONA,"STURM, RUGER + CO., INC.",2,6
3,AZ,(U.S.),ARIZONA,"THE 41ST PARAMETER, INC.",3,6
3,AZ,(U.S.),ARIZONA,"TOYOTA MOTOR ENGINEERING &  MANUFACTURING NORTH AMERICA, INC.",3,6
3,AZ,(U.S.),ARIZONA,ZYGO CORPORATION,1,6
3,AZ,(U.S.),ARIZONA,"ACOUSTIC TECHNOLOGIES, INC.",0,5
3,AZ,(U.S.),ARIZONA,"ADTRAN, INC.",1,5
5,CA,(U.S.),CALIFORNIA,"TIVO, INC.",30,97
3,AZ,(U.S.),ARIZONA,"AGM CONTAINER CONTROLS, INC.",2,5
3,AZ,(U.S.),ARIZONA,"ARACA, INCORPORATED",1,5
3,AZ,(U.S.),ARIZONA,ASM IP HOLDING B.V.,5,5
3,AZ,(U.S.),ARIZONA,"AUGME TECHNOLOGIES, INC.",0,5
3,AZ,(U.S.),ARIZONA,AVAYA INC.,0,5
3,AZ,(U.S.),ARIZONA,"BKD ACQUISITION, INC.",2,5
3,AZ,(U.S.),ARIZONA,CELLTRUST CORPORATION,1,5
3,AZ,(U.S.),ARIZONA,"CIRRUS LOGIC, INC.",1,5
3,AZ,(U.S.),ARIZONA,CLEVELAND ELECTRIC LABORATORIES,3,5
3,AZ,(U.S.),ARIZONA,"EAGLE-PICHER TECHNOLOGIES, LLC",0,5
3,AZ,(U.S.),ARIZONA,"ECYCLING, LLC",0,5
3,AZ,(U.S.),ARIZONA,"HYPERCOM, INC.",0,5
3,AZ,(U.S.),ARIZONA,ILLINOIS TOOL WORKS INC.,1,5
3,AZ,(U.S.),ARIZONA,"ITT MANUFACTURING ENTERPRISES, INC.",0,5
3,AZ,(U.S.),ARIZONA,"LANGUAGE TECHNOLOGIES, INC.",2,5
3,AZ,(U.S.),ARIZONA,"MASSIVELY PARALLEL TECHNOLOGIES, INC.",2,5
3,AZ,(U.S.),ARIZONA,"MEDICAL COMPONENTS, INC.",1,5
3,AZ,(U.S.),ARIZONA,MTD PRODUCTS INC.,1,5
3,AZ,(U.S.),ARIZONA,NEW JERSEY INSTITUTE OF TECHNOLOGY,1,5
3,AZ,(U.S.),ARIZONA,"OPEN INVENTION NETWORK, LLC",4,5
3,AZ,(U.S.),ARIZONA,OPEN TEXT S.A.,2,5
3,AZ,(U.S.),ARIZONA,ORACLE INTERNATIONAL CORPORATION,2,5
3,AZ,(U.S.),ARIZONA,"ORTHOIP, LLC",3,5
3,AZ,(U.S.),ARIZONA,"PLATI NETWORKING, LLC",3,5
3,AZ,(U.S.),ARIZONA,"PROPST FAMILY LIMITED PARTNERSHIP, LLC",2,5
3,AZ,(U.S.),ARIZONA,ROGERS CORPORATION,1,5
3,AZ,(U.S.),ARIZONA,"THE MATH WORKS, INC.",3,5
3,AZ,(U.S.),ARIZONA,VEECO INSTRUMENTS INC.,0,5
3,AZ,(U.S.),ARIZONA,"VOMARIS INNOVATIONS, INC.",0,5
3,AZ,(U.S.),ARIZONA,"XGLOW P/T, LLC",2,5
4,AR,(U.S.),ARKANSAS,~INDIVIDUALLY OWNED PATENT,49,214
4,AR,(U.S.),ARKANSAS,UNIVERSITY OF ARKANSAS,30,135
4,AR,(U.S.),ARKANSAS,"WAL-MART STORES, INC.",11,31
4,AR,(U.S.),ARKANSAS,"MONSANTO TECHNOLOGY, LLC",7,19
4,AR,(U.S.),ARKANSAS,SNAP-ON INCORPORATED,3,17
4,AR,(U.S.),ARKANSAS,SYNGENTA PARTICIPATIONS AG,4,16
4,AR,(U.S.),ARKANSAS,"AT& T INTELLECTUAL PROPERTY I, L.P.",1,10
4,AR,(U.S.),ARKANSAS,"DANFOSS SCROLL TECHNOLOGIES, LLC",2,10
4,AR,(U.S.),ARKANSAS,MOLEX INCORPORATED,3,10
4,AR,(U.S.),ARKANSAS,"DAYCO IP HOLDINGS, LLC",3,9
4,AR,(U.S.),ARKANSAS,MERTEC LLC,8,8
4,AR,(U.S.),ARKANSAS,"SCROLL TECHNOLOGIES, INC.",0,8
4,AR,(U.S.),ARKANSAS,"BALDOR ELECTRIC COMPANY, INC.",4,6
4,AR,(U.S.),ARKANSAS,CAMFIL FARR INC.,1,6
4,AR,(U.S.),ARKANSAS,"RA BRANDS, L.L.C.",2,6
4,AR,(U.S.),ARKANSAS,ASSEMBLED PRODUCTS CORPORATION,3,5
4,AR,(U.S.),ARKANSAS,BAXLEY EQUIPMENT CO.,0,5
4,AR,(U.S.),ARKANSAS,FUTURE FUEL CHEMICAL COMPANY,3,5
4,AR,(U.S.),ARKANSAS,INEOS BIO LIMITED,3,5
4,AR,(U.S.),ARKANSAS,"JASON INTERNATIONAL, INC.",2,5
4,AR,(U.S.),ARKANSAS,KENNAMETAL INC.,2,5
